"Date","FieldNotes","FlowAdjustment"
"Date Assessed Monday, 2016-11-07","flow was 0.2 gpm. Wadable conditions. Temperature was 30 deg C. Recorded by CEK.","Flow was scaled by constant factor of 0.5 to account for science"
"Date Assessed Monday, 2021-05-17","Stream flow at 142.1 MGD. Ambient Air Temperature was 28 deg C. Temperature was 25 deg C. Recorded by JNW.","Flow was scaled by constant factor of 0.7 to account for science"
"Date Assessed Tuesday, 2016-08-16","Streamflow is 102.7 cfs.  Temperature was 22.7 deg C. Recorded by UIU.","Flow was scaled by constant factor of 0.2 to account for science"
"Date Assessed Thursday, 2018-12-20","Streamflow is 168.3 MGD. Ambient Air Temperature was 28 deg C. Temperature was 25 deg C. Recorded by JSN.","Flow was scaled by constant factor of 0.4 to account for science"
"Date Assessed Sunday, 2016-09-18","Stream flow at 134.5 MGD. Wadable conditions. Temperature was 25.7 deg C. Recorded by WRW.","Flow was scaled by constant factor of 0.1 to account for science"
"Date Assessed Monday, 2018-05-21","Stream flow at 105.8 cfs. Wadable conditions. Temperature was 26.6 deg C. Recorded by WPD.","Flow was scaled by constant factor of 0 to account for science"
"Date Assessed Monday, 2020-02-03","flow was 92.8 cfs. Ambient Air Temperature was 28 deg C. Temperature was 31.9 deg C. Recorded by NLP.","Flow was scaled by constant factor of 0.4 to account for science"
"Date Assessed Monday, 2018-06-18","flow was 82.1 cfs. Ambient Air Temperature was 28 deg C. Temperature was 29.6 deg C. Recorded by BGN.","Flow was scaled by constant factor of 0.5 to account for science"
"Date Assessed Wednesday, 2020-10-21","flow was 0.2 gpm. Wadable conditions. Temperature was 30.9 deg C. Recorded by ENP.","Flow was scaled by constant factor of 0.7 to account for science"
"Date Assessed Tuesday, 2020-01-21","flow was 98.7 cfs.  Temperature was 24.8 deg C. Recorded by HGC.","Flow was scaled by constant factor of 0.1 to account for science"
"Date Assessed Monday, 2021-08-23","flow was 141.3 MGD. Wadable conditions. Temperature was 23.9 deg C. Recorded by VOG.","Flow was scaled by constant factor of 1 to account for science"
"Date Assessed Thursday, 2020-02-06","Stream flow at 111.3 cfs. Wadable conditions. Temperature was 28.9 deg C. Recorded by OGD.","Flow was scaled by constant factor of 0.4 to account for science"
"Date Assessed Monday, 2016-06-13","Streamflow is 0.2 gpm. Ambient Air Temperature was 28 deg C. Temperature was 32.1 deg C. Recorded by ROK.","Flow was scaled by constant factor of 0.4 to account for science"
"Date Assessed Friday, 2018-12-21","flow was 98 cfs.  Temperature was 31.2 deg C. Recorded by SOV.","Flow was scaled by constant factor of 0.2 to account for science"
"Date Assessed Wednesday, 2016-11-30","Streamflow is 140.2 MGD. Ambient Air Temperature was 28 deg C. Temperature was 30.7 deg C. Recorded by TDM.","Flow was scaled by constant factor of 0.6 to account for science"
"Date Assessed Wednesday, 2019-08-21","Streamflow is 0.2 gpm. Wadable conditions. Temperature was 30 deg C. Recorded by BRC.","Flow was scaled by constant factor of 0.5 to account for science"
"Date Assessed Friday, 2016-05-20","flow was 160.9 MGD. Ambient Air Temperature was 28 deg C. Temperature was 26.8 deg C. Recorded by UFD.","Flow was scaled by constant factor of 0.5 to account for science"
"Date Assessed Tuesday, 2017-03-07","Streamflow is 162.2 MGD. Wadable conditions. Temperature was 33.1 deg C. Recorded by YYH.","Flow was scaled by constant factor of 0.9 to account for science"
"Date Assessed Friday, 2022-01-28","flow was 0.2 gpm.  Temperature was 32.4 deg C. Recorded by HRN.","Flow was scaled by constant factor of 0.7 to account for science"
"Date Assessed Wednesday, 2021-11-17","Streamflow is 154.4 MGD. Wadable conditions. Temperature was 26.3 deg C. Recorded by IJM.","Flow was scaled by constant factor of 0.9 to account for science"
"Date Assessed Friday, 2022-03-04","Stream flow at 0.2 gpm. Ambient Air Temperature was 28 deg C. Temperature was 30.7 deg C. Recorded by IJR.","Flow was scaled by constant factor of 0.1 to account for science"
"Date Assessed Thursday, 2017-07-06","Stream flow at 165.5 MGD. Wadable conditions. Temperature was 27.2 deg C. Recorded by LRT.","Flow was scaled by constant factor of 0.3 to account for science"
"Date Assessed Monday, 2019-12-16","Streamflow is 0.2 gpm. Ambient Air Temperature was 28 deg C. Temperature was 32.4 deg C. Recorded by HLX.","Flow was scaled by constant factor of 0.8 to account for science"
"Date Assessed Friday, 2018-02-02","flow was 0.2 gpm. Wadable conditions. Temperature was 31.3 deg C. Recorded by QST.","Flow was scaled by constant factor of 0.6 to account for science"
"Date Assessed Tuesday, 2016-07-12","Streamflow is 106.6 cfs. Wadable conditions. Temperature was 25 deg C. Recorded by YJS.","Flow was scaled by constant factor of 0.2 to account for science"
"Date Assessed Sunday, 2021-01-03","Stream flow at 164.4 MGD.  Temperature was 27.9 deg C. Recorded by ABF.","Flow was scaled by constant factor of 0.5 to account for science"
"Date Assessed Monday, 2016-09-26","Stream flow at 0.2 gpm.  Temperature was 24.8 deg C. Recorded by IUG.","Flow was scaled by constant factor of 0.1 to account for science"
"Date Assessed Monday, 2020-03-02","Stream flow at 164.8 MGD. Wadable conditions. Temperature was 30.5 deg C. Recorded by LLB.","Flow was scaled by constant factor of 0.7 to account for science"
"Date Assessed Wednesday, 2017-10-18","flow was 96.3 cfs. Wadable conditions. Temperature was 30.2 deg C. Recorded by PXO.","Flow was scaled by constant factor of 0.3 to account for science"
"Date Assessed Monday, 2017-06-05","flow was 0.2 gpm.  Temperature was 29.6 deg C. Recorded by GFL.","Flow was scaled by constant factor of 0.1 to account for science"
"Date Assessed Thursday, 2019-10-03","flow was 0.2 gpm.  Temperature was 21.1 deg C. Recorded by OAQ.","Flow was scaled by constant factor of 0.2 to account for science"
"Date Assessed Monday, 2017-01-09","Streamflow is 0.2 gpm.  Temperature was 30.7 deg C. Recorded by IQO.","Flow was scaled by constant factor of 0.7 to account for science"
"Date Assessed Saturday, 2021-04-24","Streamflow is 0.2 gpm.  Temperature was 23.8 deg C. Recorded by NQC.","Flow was scaled by constant factor of 0.8 to account for science"
"Date Assessed Friday, 2021-04-23","Stream flow at 95.9 cfs.  Temperature was 30.8 deg C. Recorded by IBL.","Flow was scaled by constant factor of 0.7 to account for science"
"Date Assessed Sunday, 2020-02-16","Stream flow at 147.2 MGD. Wadable conditions. Temperature was 30.7 deg C. Recorded by WHS.","Flow was scaled by constant factor of 1 to account for science"
"Date Assessed Saturday, 2020-02-08","Streamflow is 0.2 gpm. Wadable conditions. Temperature was 31.4 deg C. Recorded by GKQ.","Flow was scaled by constant factor of 0.8 to account for science"
"Date Assessed Monday, 2021-01-18","flow was 175.1 MGD.  Temperature was 26.2 deg C. Recorded by SXG.","Flow was scaled by constant factor of 0.9 to account for science"
"Date Assessed Monday, 2018-06-04","flow was 0.2 gpm.  Temperature was 28.8 deg C. Recorded by LSC.","Flow was scaled by constant factor of 0.5 to account for science"
"Date Assessed Thursday, 2018-08-30","Streamflow is 0.2 gpm. Ambient Air Temperature was 28 deg C. Temperature was 26.4 deg C. Recorded by QHK.","Flow was scaled by constant factor of 0.8 to account for science"
"Date Assessed Monday, 2018-09-24","Stream flow at 0.2 gpm. Wadable conditions. Temperature was 27.7 deg C. Recorded by FOJ.","Flow was scaled by constant factor of 0.2 to account for science"
"Date Assessed Tuesday, 2020-09-01","flow was 0.2 gpm.  Temperature was 26.4 deg C. Recorded by OVO.","Flow was scaled by constant factor of 0.9 to account for science"
"Date Assessed Sunday, 2018-12-23","flow was 0.2 gpm.  Temperature was 31.2 deg C. Recorded by YGJ.","Flow was scaled by constant factor of 0.2 to account for science"
"Date Assessed Wednesday, 2022-01-05","Stream flow at 113.6 MGD.  Temperature was 18.9 deg C. Recorded by EGL.","Flow was scaled by constant factor of 0.2 to account for science"
"Date Assessed Saturday, 2019-05-18","Stream flow at 149.5 MGD. Wadable conditions. Temperature was 30.8 deg C. Recorded by XQM.","Flow was scaled by constant factor of 0.7 to account for science"
"Date Assessed Tuesday, 2020-07-28","flow was 95.8 cfs.  Temperature was 18.7 deg C. Recorded by YIW.","Flow was scaled by constant factor of 0.5 to account for science"
"Date Assessed Tuesday, 2017-11-07","Stream flow at 117.3 cfs.  Temperature was 30.7 deg C. Recorded by TMM.","Flow was scaled by constant factor of 0.4 to account for science"
"Date Assessed Wednesday, 2018-02-14","Streamflow is 130.1 MGD.  Temperature was 27.1 deg C. Recorded by CYR.","Flow was scaled by constant factor of 0.6 to account for science"
"Date Assessed Tuesday, 2019-02-26","Streamflow is 91.3 cfs.  Temperature was 25.7 deg C. Recorded by MRD.","Flow was scaled by constant factor of 0.8 to account for science"
"Date Assessed Tuesday, 2020-01-28","Stream flow at 0.2 gpm. Wadable conditions. Temperature was 30.4 deg C. Recorded by JKG.","Flow was scaled by constant factor of 0.1 to account for science"
"Date Assessed Monday, 2022-03-14","Streamflow is 111.6 cfs. Wadable conditions. Temperature was 30.3 deg C. Recorded by KEI.","Flow was scaled by constant factor of 0.1 to account for science"
"Date Assessed Saturday, 2022-01-22","Streamflow is 152.9 MGD. Ambient Air Temperature was 28 deg C. Temperature was 24.8 deg C. Recorded by OMH.","Flow was scaled by constant factor of 0.9 to account for science"
"Date Assessed Friday, 2018-10-19","flow was 0.2 gpm. Wadable conditions. Temperature was 26.9 deg C. Recorded by QYP.","Flow was scaled by constant factor of 0.1 to account for science"
"Date Assessed Tuesday, 2017-09-05","flow was 87.5 cfs. Wadable conditions. Temperature was 28.9 deg C. Recorded by YVN.","Flow was scaled by constant factor of 0.5 to account for science"
"Date Assessed Friday, 2018-04-13","flow was 157.1 MGD. Wadable conditions. Temperature was 24.8 deg C. Recorded by JIY.","Flow was scaled by constant factor of 0.1 to account for science"
"Date Assessed Friday, 2021-06-11","Streamflow is 172.9 MGD.  Temperature was 24.2 deg C. Recorded by IIH.","Flow was scaled by constant factor of 1 to account for science"
"Date Assessed Thursday, 2020-09-03","Streamflow is 0.2 gpm. Ambient Air Temperature was 28 deg C. Temperature was 28.9 deg C. Recorded by LWO.","Flow was scaled by constant factor of 0.1 to account for science"
"Date Assessed Thursday, 2019-01-24","Stream flow at 162.3 MGD. Ambient Air Temperature was 28 deg C. Temperature was 29.5 deg C. Recorded by UQV.","Flow was scaled by constant factor of 0.6 to account for science"
"Date Assessed Tuesday, 2020-05-19","flow was 166.2 MGD.  Temperature was 30.7 deg C. Recorded by MAF.","Flow was scaled by constant factor of 0.3 to account for science"
"Date Assessed Wednesday, 2018-09-05","Stream flow at 0.2 gpm.  Temperature was 26.6 deg C. Recorded by SUX.","Flow was scaled by constant factor of 0.1 to account for science"
"Date Assessed Tuesday, 2019-05-21","Stream flow at 148.6 MGD. Wadable conditions. Temperature was 24.6 deg C. Recorded by LDI.","Flow was scaled by constant factor of 0.3 to account for science"
"Date Assessed Thursday, 2020-04-30","Stream flow at 95.9 cfs. Ambient Air Temperature was 28 deg C. Temperature was 25 deg C. Recorded by MOC.","Flow was scaled by constant factor of 0.9 to account for science"
"Date Assessed Monday, 2017-09-25","Streamflow is 0.2 gpm. Ambient Air Temperature was 28 deg C. Temperature was 30.8 deg C. Recorded by KIQ.","Flow was scaled by constant factor of 0.7 to account for science"
"Date Assessed Monday, 2020-08-24","flow was 83.3 cfs.  Temperature was 27.3 deg C. Recorded by KJS.","Flow was scaled by constant factor of 0.7 to account for science"
"Date Assessed Tuesday, 2020-08-04","Streamflow is 80.4 cfs.  Temperature was 26.6 deg C. Recorded by GBT.","Flow was scaled by constant factor of 0.9 to account for science"
"Date Assessed Sunday, 2016-08-21","flow was 150.3 MGD. Ambient Air Temperature was 28 deg C. Temperature was 29.5 deg C. Recorded by LQQ.","Flow was scaled by constant factor of 0.3 to account for science"
"Date Assessed Tuesday, 2021-12-21","Streamflow is 0.2 gpm.  Temperature was 28.6 deg C. Recorded by VPU.","Flow was scaled by constant factor of 0.7 to account for science"
"Date Assessed Monday, 2018-05-14","Stream flow at 0.2 gpm. Wadable conditions. Temperature was 34.1 deg C. Recorded by MDA.","Flow was scaled by constant factor of 0.3 to account for science"
"Date Assessed Saturday, 2017-04-22","flow was 94.3 cfs.  Temperature was 25.3 deg C. Recorded by DHT.","Flow was scaled by constant factor of 0.5 to account for science"
"Date Assessed Saturday, 2018-04-07","Streamflow is 132.4 MGD. Wadable conditions. Temperature was 28.9 deg C. Recorded by TMG.","Flow was scaled by constant factor of 0.9 to account for science"
"Date Assessed Thursday, 2021-08-26","flow was 0.2 gpm. Wadable conditions. Temperature was 30.9 deg C. Recorded by REW.","Flow was scaled by constant factor of 0.1 to account for science"
"Date Assessed Tuesday, 2017-05-02","Stream flow at 156.7 MGD.  Temperature was 26.5 deg C. Recorded by QIG.","Flow was scaled by constant factor of 0.1 to account for science"
"Date Assessed Wednesday, 2019-02-06","flow was 0.2 gpm.  Temperature was 30.5 deg C. Recorded by UPK.","Flow was scaled by constant factor of 0.6 to account for science"
"Date Assessed Thursday, 2018-03-15","Streamflow is 0.2 gpm.  Temperature was 24.6 deg C. Recorded by NDS.","Flow was scaled by constant factor of 0.9 to account for science"
"Date Assessed Thursday, 2020-07-23","Stream flow at 0.2 gpm. Wadable conditions. Temperature was 22 deg C. Recorded by QGA.","Flow was scaled by constant factor of 0.5 to account for science"
"Date Assessed Friday, 2020-11-13","flow was 0.2 gpm. Wadable conditions. Temperature was 29.8 deg C. Recorded by CPN.","Flow was scaled by constant factor of 0.4 to account for science"
"Date Assessed Monday, 2016-09-05","Stream flow at 107.7 cfs. Wadable conditions. Temperature was 30 deg C. Recorded by VGX.","Flow was scaled by constant factor of 0.6 to account for science"
"Date Assessed Sunday, 2017-06-18","Stream flow at 0.3 gpm. Ambient Air Temperature was 28 deg C. Temperature was 30.1 deg C. Recorded by ILF.","Flow was scaled by constant factor of 0.5 to account for science"
"Date Assessed Sunday, 2020-01-26","Streamflow is 94.5 cfs. Ambient Air Temperature was 28 deg C. Temperature was 29.8 deg C. Recorded by FKN.","Flow was scaled by constant factor of 0.5 to account for science"
"Date Assessed Saturday, 2020-03-21","Stream flow at 0.2 gpm. Wadable conditions. Temperature was 29.1 deg C. Recorded by XLW.","Flow was scaled by constant factor of 0.8 to account for science"
"Date Assessed Sunday, 2018-12-30","flow was 168.4 MGD.  Temperature was 23.9 deg C. Recorded by BOV.","Flow was scaled by constant factor of 0.1 to account for science"
"Date Assessed Sunday, 2020-12-20","flow was 135.9 MGD. Ambient Air Temperature was 28 deg C. Temperature was 26.8 deg C. Recorded by JAJ.","Flow was scaled by constant factor of 0.9 to account for science"
"Date Assessed Friday, 2018-08-24","Stream flow at 155.6 MGD. Ambient Air Temperature was 28 deg C. Temperature was 28.4 deg C. Recorded by SQN.","Flow was scaled by constant factor of 0.5 to account for science"
"Date Assessed Thursday, 2020-02-13","Streamflow is 160.2 MGD. Wadable conditions. Temperature was 27.6 deg C. Recorded by CQF.","Flow was scaled by constant factor of 0.2 to account for science"
"Date Assessed Sunday, 2018-09-30","flow was 144.3 MGD.  Temperature was 24.6 deg C. Recorded by DDS.","Flow was scaled by constant factor of 0.4 to account for science"
"Date Assessed Saturday, 2020-07-18","Streamflow is 0.2 gpm.  Temperature was 27 deg C. Recorded by IMK.","Flow was scaled by constant factor of 0.4 to account for science"
"Date Assessed Wednesday, 2021-08-18","flow was 0.3 gpm. Wadable conditions. Temperature was 29.1 deg C. Recorded by MGD.","Flow was scaled by constant factor of 0.1 to account for science"
"Date Assessed Saturday, 2021-07-03","Stream flow at 85 cfs. Ambient Air Temperature was 28 deg C. Temperature was 25.9 deg C. Recorded by LKS.","Flow was scaled by constant factor of 0.9 to account for science"
"Date Assessed Friday, 2019-02-08","Streamflow is 154.4 MGD. Ambient Air Temperature was 28 deg C. Temperature was 24.7 deg C. Recorded by CTA.","Flow was scaled by constant factor of 0.2 to account for science"
"Date Assessed Friday, 2018-04-06","Streamflow is 155.9 MGD. Wadable conditions. Temperature was 28.5 deg C. Recorded by IAF.","Flow was scaled by constant factor of 0.4 to account for science"
"Date Assessed Sunday, 2021-10-10","Stream flow at 92.2 cfs. Wadable conditions. Temperature was 27.5 deg C. Recorded by QXD.","Flow was scaled by constant factor of 0.4 to account for science"
"Date Assessed Thursday, 2022-01-20","flow was 127.8 MGD. Ambient Air Temperature was 28 deg C. Temperature was 24.4 deg C. Recorded by JJA.","Flow was scaled by constant factor of 0.1 to account for science"
"Date Assessed Friday, 2019-09-13","flow was 88.4 cfs. Ambient Air Temperature was 28 deg C. Temperature was 30.8 deg C. Recorded by XRS.","Flow was scaled by constant factor of 0.6 to account for science"
"Date Assessed Saturday, 2017-02-25","Streamflow is 157 MGD.  Temperature was 27.1 deg C. Recorded by CQM.","Flow was scaled by constant factor of 0.1 to account for science"
"Date Assessed Thursday, 2020-12-03","Streamflow is 101.8 cfs. Ambient Air Temperature was 28 deg C. Temperature was 29.2 deg C. Recorded by VDR.","Flow was scaled by constant factor of 0.4 to account for science"
"Date Assessed Saturday, 2017-05-20","flow was 102.1 cfs. Ambient Air Temperature was 28 deg C. Temperature was 27.3 deg C. Recorded by RWN.","Flow was scaled by constant factor of 0.7 to account for science"
"Date Assessed Saturday, 2018-11-03","flow was 141.8 MGD. Ambient Air Temperature was 28 deg C. Temperature was 33.2 deg C. Recorded by CKP.","Flow was scaled by constant factor of 0.1 to account for science"
"Date Assessed Thursday, 2019-03-28","Streamflow is 156.6 MGD.  Temperature was 27.5 deg C. Recorded by VOQ.","Flow was scaled by constant factor of 0.7 to account for science"
"Date Assessed Wednesday, 2018-02-07","flow was 169.3 MGD. Wadable conditions. Temperature was 28.1 deg C. Recorded by TUU.","Flow was scaled by constant factor of 0.2 to account for science"
"Date Assessed Monday, 2021-03-22","Stream flow at 0.2 gpm. Wadable conditions. Temperature was 26.5 deg C. Recorded by OWR.","Flow was scaled by constant factor of 0.7 to account for science"
"Date Assessed Thursday, 2022-02-10","Stream flow at 134.9 MGD. Wadable conditions. Temperature was 29.2 deg C. Recorded by NRM.","Flow was scaled by constant factor of 0.8 to account for science"
"Date Assessed Tuesday, 2016-11-22","Stream flow at 0.2 gpm. Wadable conditions. Temperature was 35 deg C. Recorded by WHC.","Flow was scaled by constant factor of 0.2 to account for science"
"Date Assessed Thursday, 2016-11-17","Streamflow is 109.5 cfs. Wadable conditions. Temperature was 28.2 deg C. Recorded by QYC.","Flow was scaled by constant factor of 0.7 to account for science"
"Date Assessed Saturday, 2020-01-25","Streamflow is 93.9 cfs. Ambient Air Temperature was 28 deg C. Temperature was 30.3 deg C. Recorded by TSM.","Flow was scaled by constant factor of 0.7 to account for science"
"Date Assessed Saturday, 2021-12-25","Stream flow at 140.6 MGD. Wadable conditions. Temperature was 24.1 deg C. Recorded by NDG.","Flow was scaled by constant factor of 0.1 to account for science"
"Date Assessed Saturday, 2018-01-13","Streamflow is 0.2 gpm. Ambient Air Temperature was 28 deg C. Temperature was 18.7 deg C. Recorded by WLY.","Flow was scaled by constant factor of 0.1 to account for science"
"Date Assessed Sunday, 2018-05-20","flow was 95.8 cfs.  Temperature was 26.6 deg C. Recorded by XKA.","Flow was scaled by constant factor of 1 to account for science"
"Date Assessed Monday, 2019-11-18","Streamflow is 0.2 gpm.  Temperature was 30.9 deg C. Recorded by KBR.","Flow was scaled by constant factor of 0.2 to account for science"
"Date Assessed Saturday, 2020-08-29","Streamflow is 143.8 MGD. Ambient Air Temperature was 28 deg C. Temperature was 26.5 deg C. Recorded by XBI.","Flow was scaled by constant factor of 0.8 to account for science"
"Date Assessed Thursday, 2020-12-10","flow was 110.3 cfs.  Temperature was 31.6 deg C. Recorded by OGN.","Flow was scaled by constant factor of 0.1 to account for science"
"Date Assessed Thursday, 2019-04-18","flow was 0.3 gpm.  Temperature was 32.1 deg C. Recorded by FNP.","Flow was scaled by constant factor of 0.7 to account for science"
"Date Assessed Saturday, 2018-08-11","Streamflow is 101.6 cfs. Wadable conditions. Temperature was 30.2 deg C. Recorded by VCC.","Flow was scaled by constant factor of 0.4 to account for science"
"Date Assessed Wednesday, 2016-11-23","Stream flow at 107.3 cfs.  Temperature was 30 deg C. Recorded by YYY.","Flow was scaled by constant factor of 0.7 to account for science"
"Date Assessed Saturday, 2021-06-26","Stream flow at 171.2 MGD. Wadable conditions. Temperature was 31.2 deg C. Recorded by TIR.","Flow was scaled by constant factor of 0.7 to account for science"
"Date Assessed Thursday, 2017-03-16","flow was 90.1 cfs. Wadable conditions. Temperature was 28.7 deg C. Recorded by WXS.","Flow was scaled by constant factor of 0.7 to account for science"
"Date Assessed Thursday, 2016-05-26","Streamflow is 95.8 cfs. Ambient Air Temperature was 28 deg C. Temperature was 25.9 deg C. Recorded by GSO.","Flow was scaled by constant factor of 0.8 to account for science"
"Date Assessed Monday, 2022-02-21","flow was 0.3 gpm. Wadable conditions. Temperature was 24.9 deg C. Recorded by YYH.","Flow was scaled by constant factor of 0.4 to account for science"
"Date Assessed Monday, 2016-08-15","Streamflow is 0.2 gpm. Ambient Air Temperature was 28 deg C. Temperature was 30.8 deg C. Recorded by HMW.","Flow was scaled by constant factor of 0 to account for science"
"Date Assessed Monday, 2021-08-02","Stream flow at 93.8 cfs. Ambient Air Temperature was 28 deg C. Temperature was 26.7 deg C. Recorded by JPN.","Flow was scaled by constant factor of 0.6 to account for science"
"Date Assessed Monday, 2021-09-27","Stream flow at 93.1 cfs.  Temperature was 26.3 deg C. Recorded by DGV.","Flow was scaled by constant factor of 0.1 to account for science"
"Date Assessed Wednesday, 2016-05-11","Streamflow is 181 MGD. Ambient Air Temperature was 28 deg C. Temperature was 26.2 deg C. Recorded by KGR.","Flow was scaled by constant factor of 0.8 to account for science"
"Date Assessed Sunday, 2020-03-08","Stream flow at 101.8 cfs.  Temperature was 30.7 deg C. Recorded by CDQ.","Flow was scaled by constant factor of 0.6 to account for science"
"Date Assessed Wednesday, 2016-12-14","Streamflow is 146.9 MGD. Ambient Air Temperature was 28 deg C. Temperature was 26.6 deg C. Recorded by FQV.","Flow was scaled by constant factor of 0.7 to account for science"
"Date Assessed Thursday, 2019-09-12","flow was 0.2 gpm. Ambient Air Temperature was 28 deg C. Temperature was 33.2 deg C. Recorded by IJP.","Flow was scaled by constant factor of 0.6 to account for science"
"Date Assessed Monday, 2021-03-29","Streamflow is 107 cfs. Wadable conditions. Temperature was 27.5 deg C. Recorded by HIB.","Flow was scaled by constant factor of 0.4 to account for science"
"Date Assessed Wednesday, 2018-10-31","flow was 0.2 gpm. Wadable conditions. Temperature was 25 deg C. Recorded by PUH.","Flow was scaled by constant factor of 0.6 to account for science"
"Date Assessed Wednesday, 2016-11-09","flow was 166 MGD. Ambient Air Temperature was 28 deg C. Temperature was 24.9 deg C. Recorded by BKA.","Flow was scaled by constant factor of 0.2 to account for science"
"Date Assessed Friday, 2018-12-07","Stream flow at 0.3 gpm. Ambient Air Temperature was 28 deg C. Temperature was 29.2 deg C. Recorded by LGF.","Flow was scaled by constant factor of 0.4 to account for science"
"Date Assessed Saturday, 2017-09-30","Stream flow at 101.2 cfs.  Temperature was 29.5 deg C. Recorded by UUG.","Flow was scaled by constant factor of 0.1 to account for science"
"Date Assessed Friday, 2019-04-12","Stream flow at 92.4 cfs. Ambient Air Temperature was 28 deg C. Temperature was 29.9 deg C. Recorded by XCM.","Flow was scaled by constant factor of 0.8 to account for science"
"Date Assessed Thursday, 2020-05-07","Stream flow at 0.2 gpm. Wadable conditions. Temperature was 22.8 deg C. Recorded by CXF.","Flow was scaled by constant factor of 0.3 to account for science"
"Date Assessed Sunday, 2016-05-22","Streamflow is 0.2 gpm. Wadable conditions. Temperature was 25.7 deg C. Recorded by NOC.","Flow was scaled by constant factor of 0.3 to account for science"
"Date Assessed Monday, 2016-04-25","flow was 157 MGD. Ambient Air Temperature was 28 deg C. Temperature was 30 deg C. Recorded by WXK.","Flow was scaled by constant factor of 0.5 to account for science"
"Date Assessed Thursday, 2020-08-13","Streamflow is 146 MGD. Wadable conditions. Temperature was 25.9 deg C. Recorded by YJJ.","Flow was scaled by constant factor of 0.7 to account for science"
"Date Assessed Saturday, 2020-11-21","Streamflow is 138.7 MGD. Wadable conditions. Temperature was 24.5 deg C. Recorded by OWF.","Flow was scaled by constant factor of 0.4 to account for science"
"Date Assessed Saturday, 2021-12-25","Streamflow is 104.1 cfs.  Temperature was 31.2 deg C. Recorded by BWB.","Flow was scaled by constant factor of 0.3 to account for science"
"Date Assessed Thursday, 2018-01-11","Stream flow at 145.5 MGD. Wadable conditions. Temperature was 29.2 deg C. Recorded by NLG.","Flow was scaled by constant factor of 0.2 to account for science"
"Date Assessed Sunday, 2018-10-21","flow was 153.5 MGD. Wadable conditions. Temperature was 22.4 deg C. Recorded by JHM.","Flow was scaled by constant factor of 0.1 to account for science"
"Date Assessed Friday, 2020-06-26","Streamflow is 129.5 MGD. Wadable conditions. Temperature was 23.9 deg C. Recorded by JVO.","Flow was scaled by constant factor of 0.2 to account for science"
"Date Assessed Sunday, 2021-11-21","Streamflow is 88 cfs. Ambient Air Temperature was 28 deg C. Temperature was 26.7 deg C. Recorded by NVK.","Flow was scaled by constant factor of 0.4 to account for science"
"Date Assessed Monday, 2020-12-21","flow was 89.6 cfs. Ambient Air Temperature was 28 deg C. Temperature was 23 deg C. Recorded by FOG.","Flow was scaled by constant factor of 0.9 to account for science"
"Date Assessed Monday, 2020-07-27","Streamflow is 155.9 MGD.  Temperature was 20.8 deg C. Recorded by JCL.","Flow was scaled by constant factor of 0.9 to account for science"
"Date Assessed Sunday, 2016-04-10","flow was 124.3 MGD. Wadable conditions. Temperature was 27.6 deg C. Recorded by YRW.","Flow was scaled by constant factor of 0.9 to account for science"
"Date Assessed Thursday, 2017-11-16","flow was 0.2 gpm. Wadable conditions. Temperature was 32.7 deg C. Recorded by RDA.","Flow was scaled by constant factor of 0.4 to account for science"
"Date Assessed Thursday, 2021-12-23","flow was 0.2 gpm.  Temperature was 25.3 deg C. Recorded by RQI.","Flow was scaled by constant factor of 0.4 to account for science"
"Date Assessed Thursday, 2017-09-28","Stream flow at 0.3 gpm. Ambient Air Temperature was 28 deg C. Temperature was 29 deg C. Recorded by YKK.","Flow was scaled by constant factor of 0.1 to account for science"
"Date Assessed Monday, 2016-06-13","flow was 97 cfs. Wadable conditions. Temperature was 33.2 deg C. Recorded by EOE.","Flow was scaled by constant factor of 0.7 to account for science"
"Date Assessed Saturday, 2022-01-29","flow was 160.9 MGD. Wadable conditions. Temperature was 27.5 deg C. Recorded by ERD.","Flow was scaled by constant factor of 1 to account for science"
"Date Assessed Friday, 2017-10-13","Streamflow is 108 cfs. Wadable conditions. Temperature was 33.3 deg C. Recorded by MFY.","Flow was scaled by constant factor of 0.3 to account for science"
"Date Assessed Friday, 2021-07-09","Stream flow at 0.2 gpm.  Temperature was 25.7 deg C. Recorded by VHI.","Flow was scaled by constant factor of 0.7 to account for science"
"Date Assessed Saturday, 2019-11-30","Streamflow is 132.9 MGD.  Temperature was 27.3 deg C. Recorded by XXR.","Flow was scaled by constant factor of 0.6 to account for science"
"Date Assessed Monday, 2020-11-09","flow was 102.9 cfs. Ambient Air Temperature was 28 deg C. Temperature was 30.8 deg C. Recorded by TJE.","Flow was scaled by constant factor of 0.8 to account for science"
"Date Assessed Wednesday, 2018-04-11","Streamflow is 84.2 cfs.  Temperature was 30.2 deg C. Recorded by XVN.","Flow was scaled by constant factor of 0.3 to account for science"
"Date Assessed Friday, 2017-11-24","Streamflow is 155.8 MGD. Ambient Air Temperature was 28 deg C. Temperature was 25.8 deg C. Recorded by GGS.","Flow was scaled by constant factor of 0.3 to account for science"
"Date Assessed Saturday, 2018-07-28","Streamflow is 96.9 cfs. Ambient Air Temperature was 28 deg C. Temperature was 29 deg C. Recorded by KML.","Flow was scaled by constant factor of 0.9 to account for science"
"Date Assessed Monday, 2020-02-24","Streamflow is 132 MGD.  Temperature was 24.3 deg C. Recorded by KGX.","Flow was scaled by constant factor of 0.4 to account for science"
